"","Player","Year","gamenum","Tm","opponent","ovrvalueadded","clutchvalueadded"
"1","David Garrard",2009,2,"JAX","ARI",-0.2,0
"2","David Garrard",2007,2,"JAX","ATL",1.58,-0.17
"3","David Garrard",2008,16,"JAX","BAL",-1.69,0
"4","David Garrard",2006,11,"JAX","BUF",1.1,1.32
"5","David Garrard",2007,11,"JAX","BUF",1.88,0
"6","David Garrard",2008,2,"JAX","BUF",0.61,0.3
"7","David Garrard",2009,10,"JAX","BUF",0.13,1.17
"8","David Garrard",2010,5,"JAX","BUF",0.17,0
"9","David Garrard",2007,13,"JAX","CAR",0.66,0
"10","David Garrard",2008,13,"JAX","CHI",-2.16,0
"11","David Garrard",2008,9,"JAX","CIN",2.54,0.65
"12","David Garrard",2008,7,"JAX","CLE",2.58,-0.59
"13","David Garrard",2009,16,"JAX","CLE",-0.92,0.49
"14","David Garrard",2010,10,"JAX","CLE",-0.44,1.47
"15","David Garrard",2010,7,"JAX","DAL",2.98,0
"16","David Garrard",2007,3,"JAX","DEN",-0.31,-0.23
"17","David Garrard",2008,6,"JAX","DEN",0.4,0
"18","David Garrard",2010,1,"JAX","DEN",2.69,-0.1
"19","David Garrard",2008,14,"JAX","GNB",-0.67,-0.13
"20","David Garrard",2006,9,"JAX","HOU",-2.01,-0.69
"21","David Garrard",2007,6,"JAX","HOU",1.65,0
"22","David Garrard",2008,12,"JAX","HOU",-1.88,0
"23","David Garrard",2008,3,"JAX","HOU",-0.22,0.74
"24","David Garrard",2009,12,"JAX","HOU",-0.57,0
"25","David Garrard",2009,3,"JAX","HOU",-0.9,0
"26","David Garrard",2006,13,"JAX","IND",-1.19,0
"27","David Garrard",2007,12,"JAX","IND",-0.3,0.46
"28","David Garrard",2008,15,"JAX","IND",-1.71,-0.04
"29","David Garrard",2009,1,"JAX","IND",-2.27,-0.67
"30","David Garrard",2009,14,"JAX","IND",-1.61,-0.78
"31","David Garrard",2010,14,"JAX","IND",-2.37,0.21
"32","David Garrard",2010,4,"JAX","IND",1.52,0.35
"33","David Garrard",2006,10,"JAX","NYG",0.41,0
"34","David Garrard",2006,14,"JAX","TEN",-2.1,0.81
"35","David Garrard",2006,15,"JAX","NWE",-0.07,0.79
"36","David Garrard",2006,16,"JAX","KAN",-1.89,0
"37","David Garrard",2006,7,"JAX","PHI",-1.44,0
"38","David Garrard",2006,8,"JAX","TEN",0.96,0
"39","David Garrard",2007,1,"JAX","TEN",-0.54,-0.35
"40","David Garrard",2007,10,"JAX","SDG",1.48,-0.17
"41","David Garrard",2007,14,"JAX","PIT",-0.66,-0.09
"42","David Garrard",2007,15,"JAX","OAK",2.92,0
"43","David Garrard",2007,4,"JAX","KAN",1.8,0
"44","David Garrard",2007,5,"JAX","HOU",3.63,0
"45","David Garrard",2008,1,"JAX","TEN",-1.74,-0.09
"46","David Garrard",2008,10,"JAX","TEN",-2.61,0
"47","David Garrard",2008,11,"JAX","MIN",-4,0
"48","David Garrard",2008,4,"JAX","HOU",0.71,1.11
"49","David Garrard",2008,5,"JAX","PIT",-0.62,-1.05
"50","David Garrard",2008,8,"JAX","CIN",0.22,0.56
"51","David Garrard",2009,11,"JAX","SFO",-1.36,0
"52","David Garrard",2009,13,"JAX","MIA",-2.61,-0.5
"53","David Garrard",2009,15,"JAX","NWE",-1.21,0
"54","David Garrard",2009,4,"JAX","TEN",2.48,0
"55","David Garrard",2009,5,"JAX","SEA",-2.42,0
"56","David Garrard",2009,6,"JAX","STL",-0.19,0.04
"57","David Garrard",2009,7,"JAX","TEN",-2.08,0
"58","David Garrard",2009,8,"JAX","KAN",1.23,0
"59","David Garrard",2009,9,"JAX","NYJ",0.62,0.3
"60","David Garrard",2010,11,"JAX","NYG",-3,-1.21
"61","David Garrard",2010,12,"JAX","TEN",0.17,0
"62","David Garrard",2010,13,"JAX","OAK",2.28,0
"63","David Garrard",2010,15,"JAX","WAS",0.37,1.15
"64","David Garrard",2010,2,"JAX","SDG",-1.04,0
"65","David Garrard",2010,3,"JAX","PHI",-3.76,0
"66","David Garrard",2010,6,"JAX","TEN",-1.03,0
"67","David Garrard",2010,8,"JAX","DAL",2.98,0
